,Total Evictions,ZIPCODE,COUNT PARTICIPANTS,PERCENT FEMALE,PERCENT MALE,PERCENT PACIFIC ISLANDER,PERCENT HISPANIC LATINO,PERCENT AMERICAN INDIAN,PERCENT ASIAN NON HISPANIC,PERCENT WHITE NON HISPANIC,PERCENT BLACK NON HISPANIC,PERCENT OTHER ETHNICITY,PERCENT ETHNICITY UNKNOWN,PERCENT PERMANENT RESIDENT ALIEN,PERCENT US CITIZEN,PERCENT OTHER CITIZEN STATUS,PERCENT RECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,PERCENT MINORITY
26,421,11230,248,0.78,0.22,0.0,0.0,0.0,0.03,0.87,0.01,0.07,0.02,0.01,0.99,0.0,0.17,0.83,0.11000000000000001
21,209,11219,214,0.85,0.15,0.0,0.0,0.0,0.0,0.96,0.0,0.03,0.0,0.01,0.99,0.0,0.52,0.48,0.03
20,238,11218,111,0.87,0.13,0.0,0.01,0.0,0.03,0.86,0.05,0.05,0.0,0.07,0.92,0.01,0.46,0.54,0.14
22,318,11223,109,0.49,0.51,0.0,0.01,0.0,0.06,0.87,0.01,0.05,0.0,0.06,0.94,0.01,0.18,0.82,0.13
12,1896,10467,106,0.61,0.39,0.0,0.48,0.01,0.04,0.01,0.44,0.02,0.0,0.09,0.89,0.02,0.31,0.69,0.99
23,383,11224,93,0.57,0.43,0.0,0.15,0.0,0.08,0.04,0.65,0.09,0.0,0.06,0.92,0.01,0.3,0.7,0.97
13,1401,10468,81,0.57,0.43,0.0,0.43,0.0,0.04,0.0,0.44,0.09,0.0,0.02,0.98,0.0,0.28,0.72,0.9999999999999999
11,1194,10466,65,0.6,0.4,0.02,0.22,0.0,0.0,0.0,0.77,0.0,0.0,0.05,0.95,0.0,0.26,0.74,1.01
9,649,10463,59,0.56,0.44,0.0,0.61,0.0,0.0,0.03,0.31,0.05,0.0,0.05,0.92,0.03,0.34,0.66,0.97
27,465,11234,59,0.49,0.51,0.0,0.14,0.0,0.0,0.63,0.17,0.07,0.0,0.02,0.98,0.0,0.03,0.97,0.38000000000000006
6,1880,10458,52,0.48,0.52,0.0,0.46,0.0,0.0,0.02,0.44,0.06,0.02,0.06,0.92,0.02,0.37,0.63,0.96
24,656,11225,52,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.42,0.58,0.0
25,329,11229,52,0.62,0.38,0.0,0.04,0.0,0.1,0.75,0.04,0.06,0.02,0.06,0.94,0.0,0.1,0.9,0.24000000000000002
28,497,11235,50,0.34,0.66,0.0,0.14,0.0,0.08,0.72,0.04,0.02,0.0,0.02,0.96,0.02,0.08,0.92,0.28
8,409,10461,49,0.53,0.47,0.02,0.43,0.02,0.02,0.02,0.37,0.1,0.02,0.02,0.98,0.0,0.43,0.57,0.9600000000000001
0,169,10001,44,0.5,0.5,0.0,0.36,0.0,0.07,0.02,0.48,0.07,0.0,0.05,0.95,0.0,0.45,0.55,0.98
14,129,10471,43,0.56,0.44,0.0,0.63,0.0,0.02,0.05,0.28,0.02,0.0,0.05,0.95,0.0,0.4,0.6,0.9500000000000001
4,932,10451,41,0.51,0.49,0.0,0.54,0.0,0.02,0.0,0.37,0.05,0.02,0.07,0.93,0.0,0.29,0.71,0.9800000000000001
19,948,11213,38,0.45,0.55,0.0,0.0,0.0,0.0,0.84,0.0,0.16,0.0,0.03,0.97,0.0,0.26,0.74,0.16
29,894,11691,37,0.32,0.68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08,0.92,0.0
16,224,11204,37,0.46,0.54,0.0,0.0,0.0,0.0,0.97,0.0,0.03,0.0,0.03,0.97,0.0,0.51,0.49,0.03
17,732,11210,36,0.33,0.67,0.0,0.0,0.0,0.0,0.92,0.0,0.08,0.0,0.0,1.0,0.0,0.31,0.69,0.08
1,267,10002,35,0.54,0.46,0.0,0.03,0.0,0.8,0.17,0.0,0.0,0.0,0.06,0.94,0.0,0.06,0.94,0.8300000000000001
18,207,11211,34,0.91,0.09,0.0,0.06,0.0,0.03,0.82,0.03,0.06,0.0,0.0,1.0,0.0,0.65,0.35,0.18
7,1399,10460,27,0.74,0.26,0.0,0.33,0.0,0.0,0.04,0.56,0.07,0.0,0.07,0.93,0.0,0.52,0.48,0.9600000000000002
5,645,10455,27,0.63,0.37,0.0,0.19,0.0,0.0,0.0,0.74,0.07,0.0,0.04,0.93,0.04,0.26,0.74,1.0
2,353,10025,27,0.63,0.37,0.0,0.56,0.0,0.0,0.0,0.41,0.04,0.0,0.11,0.89,0.0,0.3,0.7,1.01
10,165,10465,21,0.81,0.19,0.0,0.67,0.0,0.05,0.19,0.1,0.0,0.0,0.05,0.95,0.0,0.24,0.76,0.8200000000000001
3,596,10029,20,0.65,0.35,0.0,0.2,0.0,0.0,0.0,0.75,0.05,0.0,0.0,1.0,0.0,0.4,0.6,1.0
15,280,10475,20,0.6,0.4,0.0,0.35,0.0,0.0,0.05,0.6,0.0,0.0,0.1,0.9,0.0,0.4,0.6,0.95
